City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
349,Anadyr,RU,64.75,177.48,-13.0,75,75,6.71,mist
350,Isfana,KG,39.84,69.53,32.0,72,20,15.66,mist
351,Maymyo,MM,22.03,96.47,59.0,87,20,2.82,few clouds
352,Thinadhoo,MV,0.53,72.93,81.34,72,96,9.4,overcast clouds
353,Guanica,PR,17.97,-66.91,73.0,66,0,1.01,clear sky
354,Zwedru,LR,6.07,-8.13,71.76,96,76,1.9,broken clouds
355,Codrington,AU,-38.27,141.97,59.09,61,100,10.0,overcast clouds
356,Yabelo,ET,4.88,38.08,57.42,58,8,5.37,clear sky
357,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,77.29,80,100,7.99,overcast clouds
358,Nogales,MX,31.31,-110.94,50.0,29,1,7.78,clear sky
359,Walvis Bay,NA,-22.96,14.51,63.0,90,0,4.43,clear sky
